_id,Project ID,Addresses,Anchor Address,Status,Ward Number,Ward Name,Affordable Homes Approved (2017 - Present),Total ARH Approved (2017 - Present),Rent-Controlled Market Units Approved,RGI Homes Approved,geometry
1,ARH0003,100-120 Broadway Avenue,100 Broadway Ave,Final Planning Approval,14,Toronto-Danforth,6,6,0,0,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.39319723, 43.71096017]]}"
2,ARH0004,1072 - 1080 Bathurst Street,1072 Bathurst St,Occupied,11,University-Rosedale,9,9,0,0,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.41434208, 43.67239262]]}"
3,ARH0005,1080 Queen Street East,1080 Queen St E,Under Construction,14,Toronto-Danforth,0,9,0,9,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.33669, 43.662097]]}"
4,ARH0006,109-125 George Street and 231 Richmond Street East,125 George St,Pre-Planning,13,Toronto Centre,7,7,0,0,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.37127918, 43.77372266]]}"
5,ARH0007,11 Brock Avenue,11 Brock Ave,Under Review,4,Parkdale-High Park,0,42,0,42,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.43224046, 43.64212337]]}"
6,ARH0008,11 Macey Avenue,11 Macey Ave,Occupied,20,Scarborough Southwest,0,56,0,56,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.28672758, 43.69273877]]}"
7,ARH0012,1120 Ossington Ave,1120 Ossington Ave,Under Construction,9,Davenport,0,25,0,25,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.43018233, 43.67193095]]}"
8,ARH0014,118 Havelock Street,118 Havelock St,Pre-Planning,9,Davenport,0,15,0,15,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.430825, 43.655969]]}"
9,ARH0015,1229 Queen Street West,1229 Queen St W,Under Review,4,Parkdale-High Park,76,76,0,0,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.42941893, 43.65631733]]}"
10,ARH0017,"1240, 1246, 1250 Weston Road",1240 Weston Rd,Under Review,5,York South-Weston,97,97,0,0,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.49346772, 43.63975285]]}"
11,ARH0019,1250 Eglinton Ave West,1250 Eglinton Ave W,Under Construction,8,Eglinton-Lawrence,72,80,160,8,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4344265, 43.69907461]]}"
12,ARH0020,1250 Markham Road,1250 Markham Road,Final Planning Approval,24,Scarborough-Guildwood,303,303,0,0,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.23422386, 43.77892625]]}"
13,ARH0022,128 Havelock Street,128 Havelock St,Under Review,9,Davenport,10,10,0,0,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.430993, 43.656317]]}"
14,ARH0023,130 Augusta Avenue,130 Augusta Ave,Pre-Planning,10,Spadina-Fort York,4,4,0,0,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.40121902, 43.66261872]]}"
15,ARH0024,130 River Street,130 River St,Occupied,13,Toronto Centre,3,8,0,5,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.35857944, 43.66148426]]}"
16,ARH0025,"1303, 1313 and 1325 Queen Street West and 220 Cowan Avenue (Parkdale Hub)",1325 Queen St W,Under Review,4,Parkdale-High Park,77,85,146,9,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.43265066, 43.64115089]]}"
17,ARH0026,1306-1310 The Queensway,1306 The Queensway,Under Review,3,Etobicoke-Lakeshore,12,12,0,0,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.52779671, 43.62147385]]}"
18,ARH0029,1319 Bloor Street West,1319 Bloor St W,Under Review,9,Davenport,15,15,0,0,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.44469207, 43.65774104]]}"
19,ARH0030,1350 Sheppard Avenue West (Downsview Area Secondary Plan - William Baker District),1350 Sheppard Ave W,Under Review,6,York Centre,220,220,0,0,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.48489413, 43.74531822]]}"
20,ARH0031,136 Kingston Road,136 Kingston Rd,Occupied,19,Beaches-East York,0,24,0,24,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.31162559, 43.67072535]]}"
21,ARH0033,140 Merton Street,140 Merton St,Under Review,12,Toronto-St. PaulÂs,83,98,196,15,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.39170541, 43.69754214]]}"
22,ARH0034,140 the Queensway,140 The Queensway,Final Planning Approval,3,Etobicoke-Lakeshore,0,38,0,38,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.48358506, 43.6307302]]}"
23,ARH0035,1423 Dufferin Street,1423 Dufferin St,Under Review,9,Davenport,10,10,0,0,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.43994658, 43.67121954]]}"
24,ARH0036,1430 Gerrard Street East,1430 Gerrard St E,Occupied,14,Toronto-Danforth,0,23,0,23,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.32230139, 43.67248542]]}"
25,ARH0037,144 Galloway Road,144 Galloway Rd,Final Planning Approval,24,Scarborough-Guildwood,120,120,0,0,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.19459626, 43.76071245]]}"
26,ARH0038,1467 Bathurst Street and 490 St Clair Avenue West,1467 Bathurst St,Under Construction,12,Toronto-St. PaulÂs,16,16,0,0,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.41810886, 43.68356354]]}"
27,ARH0039,1499 Queen Street West,1499 Queen Street West,Pre-Planning,4,Parkdale-High Park,30,30,0,0,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.440558, 43.639752]]}"
28,ARH0040,90 Dunn Avenue,90 Dunn Avenue,Occupied,4,Parkdale-High Park,0,51,0,51,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.43357706, 43.63659231]]}"
29,ARH0041,150 Eighth Street,150 Eighth St,Final Planning Approval,3,Etobicoke-Lakeshore,0,58,0,58,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.50759301, 43.6021441]]}"
30,ARH0042,150 Queens Wharf Road,150 Queens Wharf Rd,Under Review,10,Spadina-Fort York,85,94,188,9,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.39995208, 43.63983361]]}"
31,ARH0045,153-185 Eastern Avenue,153 Eastern Avenue,Under Review,13,Toronto Centre,256,256,0,0,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.355846, 43.654565]]}"
32,ARH0046,1540-1550 Bloor Street West,1540 Bloor St W,Under Review,4,Parkdale-High Park,14,14,0,0,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4529346, 43.65642789]]}"
33,ARH0047,155-165 Elm Ridge Drive,165 Elm Ridge Dr,Pre-Planning,8,Eglinton-Lawrence,0,106,0,106,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.43863504, 43.70255582]]}"
34,ARH0048,1552 Weston Road,1552 Weston Rd,Final Planning Approval,5,York South-Weston,50,50,0,0,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.50633828, 43.69433158]]}"
35,ARH0049,1070 Eastern Ave (formerly 1555 - 1575 Queen Street East (Don Summerville)),1070 Eastern Ave (formerly 1555 Queen St E),Pre-Planning,14,Toronto-Danforth,100,100,0,0,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.31869728, 43.66565391]]}"
36,ARH0050,158 Borough Drive,158 Borough Dr,Under Review,21,Scarborough Centre,206,229,458,23,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.25667572, 43.77269972]]}"
37,ARH0051,161 Spadina Road,161 Spadina Rd,Occupied,11,University-Rosedale,10,10,0,0,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.40594131, 43.67267247]]}"
38,ARH0052,1627 & 1675 Danforth Avenue,1627 Danforth Ave,Under Review,19,Beaches-East York,60,67,133,7,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3220098, 43.68310969]]}"
39,ARH0053,1631 - 1632 Queen Street East,1631 Queen St E,Under Review,19,Beaches-East York,84,93,186,9,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.31557687, 43.66630071]]}"
40,ARH0054,1650 Sheppard Avenue East,1650 Sheppard Ave E,Under Review,16,Don Valley East,10,10,0,0,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.34908051, 43.77512129]]}"
41,ARH0055,1693-1707 Weston Road and 10 Victoria Avenue East,1693 Weston Rd,Under Review,5,York South-Weston,6,6,0,0,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.50926227, 43.69748017]]}"
42,ARH0058,"1-70 Eglinton Square, 1431 and 1437 Victoria Park Avenue, 14, 18, 19, 22, 23 and 26 Engelhart Crescent and 64 and 68 Harris Park Drive",1 Eglinton Sq,Under Review,20,Scarborough Southwest,85,85,0,0,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.30082274, 43.72300417]]}"
43,ARH0059,171 Dunn Avenue/1337 and 1339 King Street West,1337 King Street West,Pre-Planning,4,Parkdale-High Park,82,82,0,0,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.432875, 43.638001]]}"
