_id,Building Complex Name,Unit Size,Mandate Description,Household Income Limit,Units Available in the Last 12 Months,Number of Market Rent Units,Number of Subsidized Units
1,1 Church Street,1B,None,62500,1,20,21
2,1 Church Street,2B,None,71500,0,26,25
3,1 Church Street,3B,None,79000,1,9,9
4,1 Church Street,4B,None,82500,0,4,1
5,1 Oak  Apartments,2B,None,71500,0,20,14
6,1 Oak  Apartments,3B,None,79000,0,0,34
7,1 Oak  Apartments,4B,None,82500,0,0,24
8,1 Oak  Apartments,5B,None,82500,0,0,21
9,1 Oak  Stacked Rowhouses,2B,None,71500,0,20,14
10,1 Oak  Stacked Rowhouses,3B,None,79000,0,0,34
11,1 Oak  Stacked Rowhouses,4B,None,82500,0,0,24
12,1 Oak  Stacked Rowhouses,5B,None,82500,0,0,21
13,1087 Davenport Road,2B,None,71500,1,5,4
14,11 Randolph Avenue,1B,None,62500,1,20,40
15,11 Randolph Avenue,2B,None,71500,0,5,21
16,11 Randolph Avenue,3B,None,79000,0,2,7
17,111 Chestnut Street,1B,None,62500,2,20,24
18,111 Chestnut Street,2B,None,71500,1,28,60
19,111 Chestnut Street,3B,None,79000,0,4,7
20,1167 Queen Street East,1B,None,62500,0,3,17
21,1167 Queen Street East,2B,None,71500,1,6,10
22,1167 Queen Street East,3B,None,79000,0,0,5
23,133 Broadway Avenue,1B,None,62500,4,16,15
24,133 Broadway Avenue,2B,None,71500,0,2,2
25,133 Broadway Avenue,B,None,53500,1,8,9
26,136 Perth Avenue,1B,None,62500,0,3,5
27,136 Perth Avenue,2B,None,71500,0,16,41
28,136 Perth Avenue,3B,None,79000,0,1,2
29,139 Stephenson Avenue,1B,None,62500,0,14,16
30,139 Stephenson Avenue,2B,None,71500,0,32,22
31,139 Stephenson Avenue,3B,None,79000,0,0,9
32,140 The Esplanade,1B,None,62500,0,18,17
33,140 The Esplanade,2B,None,71500,1,28,27
34,140 The Esplanade,3B,None,79000,0,5,4
35,140 The Esplanade,4B,None,82500,0,0,1
36,140 The Esplanade,B,None,53500,0,1,1
37,1400 Bathurst Street,1B,None,62500,1,33,33
38,1400 Bathurst Street,2B,None,71500,0,21,21
39,1400 Bathurst Street,B,None,53500,1,3,2
40,1630 Lawrence Avenue West,1B,None,62500,1,16,46
41,1630 Lawrence Avenue West,2B,None,71500,0,2,18
42,1630 Lawrence Avenue West,3B,None,79000,0,4,14
43,170 Fairview Apartments,2B,None,71500,0,0,58
44,170 Fairview Apartments,3B,None,79000,0,0,14
45,170 Fairview Apartments,4B,None,82500,0,0,3
46,170 Fairview Townhouses,2B,None,71500,0,0,7
47,170 Fairview Townhouses,3B,None,79000,0,0,20
48,170 Fairview Townhouses,4B,None,82500,0,0,2
49,180 Sackville Street Apartments,1B,None,62500,0,0,6
