_id,Building Complex Name,Building Address List,Ward,Provider Type,Provider Name,Provider Website,Building Type,Building Street Number,Building Address,Building City,Building Postal Code,Senior Building,Room,Bachelor,One Bedroom,Two Bedroom,Three Bedroom,Four Bedroom,Five Bedroom,Six Bedroom,Balcony,Communal Balcony,Air Conditioning,Elevators,Stairs Only,Hydro Included,Parking,Wheelchair Accessible Building,Wheelchair Accessible Units,Modified Unit,Smoke Free,Terminally Ill,Building Mandate1,Building Mandate2,Building Image,Longitude,Latitude
1,Lakeshore Gardens Co-Operative Homes Inc Townhouses,25 Bradham Path,3,CO-OP,Lakeshore Gardens Co-Operative Homes Inc.,None,Townhouse/ Walk-up,10,Garnett Janes Road,Toronto,M8V 3Z2,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,No,Yes,None,None,25-Bradham-Path-BuildingExterior.jpg,-79.50886112,43.60176315
2,Maurice Coulter Housing Co-Operative,170-176 John Garland Boulevard,1,CO-OP,Maurice Coulter Housing Co-Operative,None,Townhouse/ Walk-up,174,John Garland Boulevard,Toronto,M9V 5G1,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,None,None,170-176-John-Garland-Boulevard-BuildingExterior.jpg,-79.587668,43.73334809
3,Maurice Coulter Housing Co-Operative Apartments,174 John Garland Boulevard,1,CO-OP,Maurice Coulter Housing Co-Operative,None,High Rise,174,John Garland Boulevard,Toronto,M9V 5G1,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,None,None,174-John-Garland-Boulevard-BuildingExterior.jpg,-79.587668,43.73334809
4,Nakiska Co-Operative Homes Inc. Apartments,3078 Lake Shore Boulevard West,3,CO-OP,Nakiska Co-Operative Homes Inc.,None,High Rise,3078,Lake Shore Boulevard West,Toronto,M8V 3Y7,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,None,None,3078-Lake-Shore-Boulevard-West-BuildingExterior.jpg,-79.51236326,43.59961257
5,Nakiska Co-Operative Homes Inc. Townhouses,140-170 Thirteenth Street,3,CO-OP,Nakiska Co-Operative Homes Inc.,None,Townhouse/ Walk-up,3078,Lake Shore Boulevard West,Toronto,M8V 3Y7,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,None,None,140-170-Thirteenth-Street-BuildingExterior.jpg,-79.51236326,43.59961257
6,Robert Cooke Co-Operative Homes,22 Bradham Path,3,CO-OP,Robert Cooke Co-Operative Homes,None,Townhouse/ Walk-up,20,Garnett Janes Road,Toronto,M8V 3Z1,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,None,None,22-Bradham-Path-BuildingExterior.jpg,-79.5091621,43.60172237
7,1 Church Street,1 Church Street,10,TCHC,Toronto Community Housing ,https://www.torontohousing.ca/rent,High Rise,1,Church Street,Toronto,M5E 1Y6,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,No,Yes,None,None,1-Church-Street-BuildingExterior.jpg,-79.37286971,43.64703285
8,1 Oak  Apartments,1 Oak Street,13,TCHC,Toronto Community Housing ,https://www.torontohousing.ca/rent,High Rise,1,Oak Street,Toronto,M5A 0A1,No,No,No,No,Yes,Yes,Yes,Yes,No,None,None,None,None,None,None,None,None,Yes,None,None,None,None,None,1-Oak-Street-BuildingExterior.jpg,-79.36606947,43.66064053
9,Robert Cooke Co-Operative Homes Apartments,20 Garnett Janes Road||45 Etta Whylie,3,CO-OP,Robert Cooke Co-Operative Homes,None,High Rise|Low Rise,20,Garnett Janes Road,Toronto,M8V 3Z1,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,None,None,20-Garnett-Janes-Road-BuildingExterior.jpg,-79.5091621,43.60172237
10,1 Oak  Stacked Rowhouses,35-53 Cole Street||39-67 Oak Street||95-107 Regent Street,13,TCHC,Toronto Community Housing ,https://www.torontohousing.ca/rent,Townhouse/ Walk-up,1,Oak Street,Toronto,M5A 0A1,No,No,No,No,Yes,Yes,Yes,Yes,No,None,None,None,None,None,None,None,None,Yes,None,None,None,None,None,35-53-Cole-Street-BuildingExterior.jpg,-79.36606947,43.66064053
11,Moshav Noam Co-Op,525 Lawrence Avenue West,8,CO-OP,Moshav Noam Co-Op,None,High Rise,525,Lawrence Avenue West,Toronto,M6A 3E1,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,None,None,525-Lawrence-Avenue-West-BuildingExterior.jpg,-79.43142514,43.71861177
