_id,RSN,YEAR REGISTERED,YEAR BUILT,YEAR EVALUATED,PROPERTY TYPE,WARD,WARDNAME,SITE ADDRESS,CONFIRMED STOREYS,CONFIRMED UNITS,EVALUATION COMPLETED ON,CURRENT BUILDING EVAL SCORE,PROACTIVE BUILDING SCORE,CURRENT REACTIVE SCORE,NO OF AREAS EVALUATED,NUMBERING OF PROPERTY,EXTERIOR GROUNDS,FENCING,RETAINING WALLS,CATCH BASINS / STORM DRAINAGE,BUILDING EXTERIOR,BALCONY GUARDS,WINDOWS,EXT. RECEPTACLE STORAGE AREA,EXTERIOR WALKWAYS,CLOTHING DROP BOXES,ACCESSORY BUILDINGS,INTERCOM,EMERGENCY CONTACT SIGN,LOBBY - WALLS AND CEILING,LOBBY FLOORS,LAUNDRY ROOM,INT. RECEPTACLE STORAGE AREA,MAIL RECEPTACLES,EXTERIOR DOORS,STORAGE AREAS/LOCKERS MAINT.,POOLS,OTHER AMENITIES,PARKING AREAS,ABANDONED EQUIP./DERELICT VEH.,GARBAGE/COMPACTOR ROOM,ELEVATOR MAINTENANCE,ELEVATOR COSMETICS,INT. HALLWAY - WALLS / CEILING,INTERIOR HALLWAY FLOORS,INT. LOBBY / HALLWAY LIGHTING,COMMON AREA VENTILATION,ELECTRICAL SERVICES / OUTLETS,CHUTE ROOMS - MAINTENANCE,STAIRWELL - WALLS AND CEILING,STAIRWELL - LANDING AND STEPS,STAIRWELL LIGHTING,INT. HANDRAIL / GUARD - SAFETY,INT. HANDRAIL / GUARD - MAINT.,GRAFFITI,BUILDING CLEANLINESS,COMMON AREA PESTS,TENANT NOTIFICATION BOARD,PEST CONTROL LOG,MAINTENANCE LOG,CLEANING LOG,VITAL SERVICE PLAN,ELECTRICAL SAFETY PLAN,STATE OF GOOD REPAIR PLAN,TENANT SERVICE REQUEST LOG,GRID,LATITUDE,LONGITUDE,X,Y
31,4168798,2017.0,1956.0,2023,PRIVATE,3,Etobicoke-Lakeshore,170 BERRY RD,4,22,2023-08-21,95.0,95.0,0,41,3,3.0,3,3.0,3.0,3.0,3.0,3.0,3,3.0,,3.0,3.0,3,3.0,3,3,,3.0,3.0,,,,2.0,3,,,,3.0,2.0,3.0,3.0,3.0,,3.0,2.0,3.0,1.0,2.0,3,3,3,3,3,3,3,3,3,3,3,W0327,29.8371326,-95.3732632,305421.0121,4832761.998
122,4167698,2017.0,1963.0,2023,PRIVATE,13,Toronto Centre,40 ALEXANDER ST,19,244,2023-06-16,97.0,97.0,0,45,3,3.0,3,,3.0,3.0,3.0,3.0,,3.0,,,3.0,3,3.0,3,3,3,3.0,3.0,3.0,,3.0,3.0,3,3,3,3,3.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3,3,3,3,3,3,3,3,3,3,3,S1326,43.6635818,-79.3820125,314334.646,4835774.919
123,4167699,2017.0,1963.0,2023,PRIVATE,13,Toronto Centre,50 ALEXANDER ST,29,217,2023-06-16,99.0,99.0,0,45,3,3.0,3,,3.0,3.0,3.0,3.0,,3.0,,,3.0,3,3.0,3,3,3,3.0,3.0,3.0,,3.0,3.0,3,3,3,3,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3,3,3,3,3,3,3,3,3,3,3,S1326,43.6637834,-79.3810598,314334.646,4835774.919
124,4167700,2017.0,1963.0,2024,PRIVATE,13,Toronto Centre,55 MAITLAND PL,18,244,2024-09-15,90.0,90.0,0,44,3,3.0,3,,3.0,2.0,3.0,3.0,,3.0,,,3.0,3,2.0,3,3,2,3.0,3.0,1.0,,,1.0,3,2,3,3,2.0,3.0,3.0,3.0,3.0,1.0,2.0,2.0,3.0,3.0,2.0,3,3,3,3,3,3,3,3,3,3,3,S1326,43.6649788,-79.37663420000001,314334.646,4835774.919
205,4244920,2017.0,2017.0,2023,PRIVATE,12,Toronto-St. Paul's,118 BALLIOL ST,30,342,2023-06-09,100.0,100.0,0,46,3,3.0,3,3.0,3.0,3.0,3.0,3.0,,3.0,,,3.0,3,3.0,3,,3,3.0,3.0,3.0,3,3.0,3.0,3,3,3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3,3,3,3,3,3,3,3,3,3,3,S1233,43.6984397,-79.3927925,313430.374,4839608.751
221,4156031,2017.0,1965.0,2024,PRIVATE,19,Beaches-East York,165 BARRINGTON AVE,19,265,2024-08-28,84.0,84.0,0,46,2,3.0,3,,2.0,2.0,3.0,3.0,3,2.0,3.0,,3.0,3,2.0,2,2,1,3.0,2.0,1.0,,,2.0,3,2,3,2,1.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,3,3,3,3,3,3,3,3,3,3,3,S1930,43.6938963,-79.3024172,320678.849,4839169.774
349,4171374,2017.0,2013.0,2024,PRIVATE,10,Spadina-Fort York,570 BAY ST,29,463,2024-07-12,95.0,95.0,0,45,3,3.0,,3.0,3.0,2.0,3.0,3.0,3,3.0,,,3.0,3,3.0,3,,1,3.0,3.0,2.0,,3.0,2.0,3,2,3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3,3,3,3,3,3,3,3,3,3,3,S1025,43.655427,-79.38381369999999,314153.011,4834834.397
391,5392487,2024.0,2022.0,2024,PRIVATE,6,York Centre,70 GEORGE BUTCHART DR,4,53,2024-08-14,97.0,97.0,0,44,2,2.0,3,,3.0,3.0,3.0,3.0,,3.0,,,3.0,3,3.0,3,,3,3.0,3.0,3.0,,3.0,3.0,3,3,3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3,3,3,3,3,3,3,3,1,3,3,N0628,43.73603180000001,-79.48293170000001,306149.033,4843791.173
396,4153437,2023.0,1930.0,2023,PRIVATE,13,Toronto Centre,181-183 GERRARD ST E,4,22,2023-08-04,72.0,72.0,0,36,3,2.0,2,,,1.0,3.0,3.0,3,1.0,,,2.0,1,2.0,3,3,,2.0,2.0,,,,,3,,,,2.0,2.0,3.0,,3.0,,1.0,2.0,3.0,3.0,3.0,2,3,3,1,1,1,1,1,1,1,1,S1328,43.6608528,-79.3729448,315023.983,4835440.714
416,4171378,2017.0,1973.0,2024,PRIVATE,11,University-Rosedale,77 GERRARD ST W,25,225,2024-08-30,94.0,94.0,0,42,3,,,,3.0,3.0,3.0,3.0,,,,,3.0,3,3.0,3,,3,3.0,3.0,3.0,3,3.0,3.0,3,1,3,3,1.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,3,3,3,3,3,3,3,3,3,3,3,S1145,43.6581645,-79.3852988,314029.142,4835153.24
